Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Greece,7934,250,235,0,3804,0,3895,30,762.0,23.0,816450,78385.0,10415873,Europe
Finland,7842,37,334,0,7100,0,408,0,1415.0,60.0,517936,93458.0,5541909,Europe
Luxembourg,7566,0,124,0,6813,0,629,3,12061.0,198.0,696415,1110154.0,627314,Europe
Croatia,7329,255,168,0,5472,86,1689,13,1787.0,41.0,144521,35235.0,4101682,Europe
Mauritania,6848,19,158,0,6123,29,567,3,1468.0,34.0,68872,14763.0,4665084,Africa
Maldives,6370,145,24,0,3915,127,2431,12,11757.0,44.0,100233,185004.0,541787,Asia
Zimbabwe,5745,102,151,1,4525,83,1069,0,386.0,10.0,149748,10056.0,14891491,Africa
Djibouti,5374,0,59,0,5216,0,99,0,5429.0,60.0,63471,64119.0,989897,Africa
Malawi,5282,42,165,1,2883,26,2234,4,275.0,9.0,41026,2138.0,19192454,Africa
Hungary,5046,44,609,0,3678,13,759,7,523.0,63.0,390079,40394.0,9656917,Europe
Namibia,4912,247,41,2,2442,16,2429,18,1929.0,16.0,45744,17961.0,2546901,Africa
Equatorial Guinea,4892,0,83,0,2713,0,2096,0,3473.0,59.0,49215,34938.0,1408647,Africa
CAR,4679,0,61,0,1755,0,2863,2,967.0,13.0,30775,6358.0,4840739,Africa
Hong Kong,4605,18,73,1,3827,48,705,31,614.0,10.0,780415,103983.0,7505199,Asia
Montenegro,4174,0,80,0,3127,0,967,0,6646.0,127.0,43826,69778.0,628077,Europe
Eswatini,4110,52,81,2,2643,32,1386,11,3538.0,70.0,28380,24428.0,1161774,Africa
Cuba,3565,83,88,0,2894,31,583,3,315.0,8.0,346439,30589.0,11325654,North America
Thailand,3389,7,58,0,3218,19,113,1,49.0,0.8,749213,10730.0,69824098,Asia
Cabo Verde,3368,47,37,1,2462,20,869,0,6049.0,66.0,73900,132724.0,556795,Africa
Suriname,3295,0,54,0,2227,0,1014,16,5610.0,92.0,5568,9480.0,587340,South America
Mayotte,3160,0,39,0,2964,0,157,1,11547.0,143.0,13000,47505.0,273653,Africa
Mozambique,3115,70,20,1,1380,89,1715,0,99.0,0.6,82264,2623.0,31365185,Africa
Slovakia,3102,80,33,0,2014,17,1055,8,568.0,6.0,304021,55681.0,5460009,Europe
Sri Lanka,2918,16,11,0,2765,5,142,1,136.0,0.5,195025,9102.0,21425544,Asia
Mali,2667,0,125,0,1993,0,549,0,131.0,6.0,32716,1610.0,20323703,Africa
Rwanda,2644,0,10,0,1698,0,936,0,203.0,0.8,345920,26624.0,12992985,Africa
Slovenia,2536,43,129,0,2079,0,328,3,1220.0,62.0,147091,70752.0,2078978,Europe
